DATE,REF,DETAIL,NET,TC,VAT,SUPPLIER,NOMINAL,DEPARTMENT
5/1/2025,124,MOBILE,11.37,T3,2.05,SUPPLIER 4,Telephone and Fax,ADMINISTRATION
5/1/2025,125,MOBILE,11.37,T3,2.05,SUPPLIER 4,Telephone and Fax,ADMINISTRATION
5/1/2025,126,MOBILE,2.64,T3,0.48,SUPPLIER 4,Telephone and Fax,ADMINISTRATION
5/1/2025,127,MOBILE,21.64,T3,3.89,SUPPLIER 4,Telephone and Fax,ADMINISTRATION
4/1/2025,128,BREAD,42.5,T0,0,SUPPLIER 43,Materials Purchased,KITCHEN
4/2/2025,129,BREAD,15,T0,0,SUPPLIER 43,Materials Purchased,KITCHEN
4/3/2025,130,BREAD,12,T0,0,SUPPLIER 43,Materials Purchased,KITCHEN
4/4/2025,131,BREAD,38.61,T0,0,SUPPLIER 43,Materials Purchased,KITCHEN
4/5/2025,132,BREAD,30.26,T0,0,SUPPLIER 43,Materials Purchased,KITCHEN
4/8/2025,133,BREAD,33.5,T0,0,SUPPLIER 43,Materials Purchased,KITCHEN
4/9/2025,134,BREAD,26.85,T0,0,SUPPLIER 43,Materials Purchased,KITCHEN
4/10/2025,135,BREAD,38.76,T0,0,SUPPLIER 43,Materials Purchased,KITCHEN
4/12/2025,136,BREAD,49.41,T0,0,SUPPLIER 43,Materials Purchased,KITCHEN
4/14/2025,137,BREAD,72.11,T0,0,SUPPLIER 43,Materials Purchased,KITCHEN
4/16/2025,138,BREAD,39,T0,0,SUPPLIER 43,Materials Purchased,KITCHEN
4/17/2025,139,BREAD,118.67,T0,0,SUPPLIER 43,Materials Purchased,KITCHEN
4/21/2025,140,BREAD,80.06,T0,0,SUPPLIER 43,Materials Purchased,KITCHEN
4/23/2025,141,BREAD,23.76,T0,0,SUPPLIER 43,Materials Purchased,KITCHEN
4/24/2025,142,BREAD,27.6,T0,0,SUPPLIER 43,Materials Purchased,KITCHEN
4/25/2025,143,BREAD,11.76,T0,0,SUPPLIER 43,Materials Purchased,KITCHEN
4/26/2025,144,BREAD,57.86,T0,0,SUPPLIER 43,Materials Purchased,KITCHEN
4/28/2025,145,BREAD,60.35,T0,0,SUPPLIER 43,Materials Purchased,KITCHEN
4/29/2025,146,BREAD,47.75,T0,0,SUPPLIER 43,Materials Purchased,KITCHEN
4/30/2025,147,BREAD,36.12,T0,0,SUPPLIER 43,Materials Purchased,KITCHEN
4/14/2025,148,BATTERIES,305.08,T3,54.92,SUPPLIER 44,Repairs and Renewals,MAINTENANCE
5/13/2025,149,CEMENT,66.4,T6,11.95,SUPPLIER 37,Buildings,CAPITAL
5/13/2025,150,CEMENT,20.7,T6,3.73,SUPPLIER 37,Buildings,CAPITAL
5/13/2025,151,CEMENT,123.08,T6,22.15,SUPPLIER 37,Buildings,CAPITAL
5/13/2025,152,CEMENT,19.63,T6,3.53,SUPPLIER 37,Buildings,CAPITAL
5/13/2025,153,CEMENT,102.87,T6,18.52,SUPPLIER 37,Buildings,CAPITAL
5/12/2025,154,NEWSPAPERS,17.18,T2,0.86,SUPPLIER 11,Materials Purchased,ACCOMMODATION
4/4/2025,155,FOOD,132.76,T0,0,SUPPLIER 46,Materials Purchased,KITCHEN
4/14/2025,156,FOOD,194.5,T0,0,SUPPLIER 46,Materials Purchased,KITCHEN
4/14/2025,157,FOOD,63.86,T0,0,SUPPLIER 46,Materials Purchased,KITCHEN
4/17/2025,158,FOOD,226.8,T0,0,SUPPLIER 46,Materials Purchased,KITCHEN
4/17/2025,159,FOOD,540.36,T0,0,SUPPLIER 46,Materials Purchased,KITCHEN
4/19/2025,160,FOOD,118,T0,0,SUPPLIER 46,Materials Purchased,KITCHEN
4/25/2025,161,FOOD,375.53,T0,0,SUPPLIER 46,Materials Purchased,KITCHEN
4/28/2025,162,FOOD,299.4,T0,0,SUPPLIER 46,Materials Purchased,KITCHEN
4/3/2025,163,FOOD,109.09,T0,0,SUPPLIER 47,Materials Purchased,KITCHEN
4/8/2025,164,FOOD,87,T0,0,SUPPLIER 47,Materials Purchased,KITCHEN
4/9/2025,165,FOOD,84,T0,0,SUPPLIER 47,Materials Purchased,KITCHEN
4/10/2025,166,FOOD,241.72,T0,0,SUPPLIER 47,Materials Purchased,KITCHEN
4/14/2025,167,FOOD,384.62,T0,0,SUPPLIER 47,Materials Purchased,KITCHEN
4/16/2025,168,FOOD,172.23,T0,0,SUPPLIER 47,Materials Purchased,KITCHEN
4/20/2025,169,FOOD,33,T0,0,SUPPLIER 47,Materials Purchased,KITCHEN
4/22/2025,170,FOOD,133,T0,0,SUPPLIER 47,Materials Purchased,KITCHEN
4/22/2025,171,FOOD,141.25,T0,0,SUPPLIER 47,Materials Purchased,KITCHEN
4/25/2025,172,FOOD,278,T0,0,SUPPLIER 47,Materials Purchased,KITCHEN
4/29/2025,173,FOOD,155,T0,0,SUPPLIER 47,Materials Purchased,KITCHEN
4/29/2025,174,FOOD,105.36,T0,0,SUPPLIER 47,Materials Purchased,KITCHEN
4/29/2025,175,FOOD,19.5,T0,0,SUPPLIER 47,Materials Purchased,KITCHEN
4/2/2025,176,FOOD,414.31,T0,0,SUPPLIER 48,Materials Purchased,KITCHEN
4/9/2025,177,FOOD,380.55,T0,0,SUPPLIER 48,Materials Purchased,KITCHEN
4/15/2025,178,FOOD,726.12,T0,0,SUPPLIER 48,Materials Purchased,KITCHEN
4/23/2025,179,FOOD,229.16,T0,0,SUPPLIER 48,Materials Purchased,KITCHEN
4/29/2025,180,FOOD,245.22,T0,0,SUPPLIER 48,Materials Purchased,KITCHEN
4/2/2025,181,ICECREAM,134,T2,6.7,SUPPLIER 49,Materials Purchased,KITCHEN
4/17/2025,182,ICECREAM,54,T2,2.7,SUPPLIER 49,Materials Purchased,KITCHEN
5/3/2025,183,30 SKIPS MIXED APRIL,840,T3,151.2,SUPPLIER 19,Cleaning,HOUSEKEEPING
5/3/2025,184,60 BINS ORGANIC APRIL,360,T3,64.8,SUPPLIER 19,Cleaning,HOUSEKEEPING
4/3/2025,185,PASTRY,72.02,T0,0,SUPPLIER 22,Materials Purchased,KITCHEN
4/10/2025,186,PASTRY,240.02,T0,0,SUPPLIER 22,Materials Purchased,KITCHEN
4/24/2025,187,PASTRY,414.92,T0,0,SUPPLIER 22,Materials Purchased,KITCHEN
4/29/2025,188,PASTRY,238.02,T0,0,SUPPLIER 22,Materials Purchased,KITCHEN
4/4/2025,189,EGGS,230,T0,0,SUPPLIER 57,Materials Purchased,KITCHEN
4/11/2025,190,EGGS,138,T0,0,SUPPLIER 57,Materials Purchased,KITCHEN
4/18/2025,191,EGGS,138,T0,0,SUPPLIER 57,Materials Purchased,KITCHEN
4/25/2025,192,EGGS,138,T0,0,SUPPLIER 57,Materials Purchased,KITCHEN
4/2/2025,193,EGGS,230,T0,0,SUPPLIER 58,Materials Purchased,KITCHEN
4/9/2025,194,EGGS,230,T0,0,SUPPLIER 58,Materials Purchased,KITCHEN
4/16/2025,195,EGGS,276,T0,0,SUPPLIER 58,Materials Purchased,KITCHEN
4/17/2025,196,EGGS,31.25,T0,0,SUPPLIER 58,Materials Purchased,KITCHEN
4/23/2025,197,EGGS,230,T0,0,SUPPLIER 58,Materials Purchased,KITCHEN
4/30/2025,198,EGGS,261.25,T0,0,SUPPLIER 58,Materials Purchased,KITCHEN
4/7/2025,199,GAS,344.28,T3,61.97,SUPPLIER 23,Gas,HOUSEKEEPING
4/14/2025,200,GAS,304.03,T3,54.72,SUPPLIER 23,Gas,KITCHEN
4/28/2025,201,GAS,503.18,T3,90.57,SUPPLIER 23,Gas,HOUSEKEEPING
4/3/2025,202,FOOD,314.1,T0,0,SUPPLIER 59,Materials Purchased,KITCHEN
4/10/2025,203,FOOD,126,T0,0,SUPPLIER 59,Materials Purchased,KITCHEN
4/15/2025,204,FOOD,580.41,T0,0,SUPPLIER 59,Materials Purchased,KITCHEN
4/24/2025,205,FOOD,210.1,T0,0,SUPPLIER 59,Materials Purchased,KITCHEN
4/30/2025,206,FOOD,315,T0,0,SUPPLIER 59,Materials Purchased,KITCHEN
4/30/2025,207,FOOD,276.18,T0,0,SUPPLIER 59,Materials Purchased,KITCHEN
4/2/2025,208,PLATES,118.37,T3,21.31,SUPPLIER 60,Miscellaneous Expenses,RESTAURANT
5/14/2025,209,CEMENT,736.41,T6,132.55,SUPPLIER 37,Buildings,CAPITAL
5/14/2025,210,CEMENT,539.4,T6,97.09,SUPPLIER 37,Buildings,CAPITAL
5/14/2025,211,CEMENT,453.14,T6,81.56,SUPPLIER 37,Buildings,CAPITAL
4/2/2025,212,SEAFOOD,177.27,T0,0,SUPPLIER 56,Materials Purchased,KITCHEN
4/2/2025,213,SEAFOOD,40.05,T0,0,SUPPLIER 56,Materials Purchased,KITCHEN
4/5/2025,214,SEAFOOD,115.26,T0,0,SUPPLIER 56,Materials Purchased,KITCHEN
4/9/2025,215,SEAFOOD,65.63,T0,0,SUPPLIER 56,Materials Purchased,KITCHEN
4/10/2025,216,SEAFOOD,39.38,T0,0,SUPPLIER 56,Materials Purchased,KITCHEN
4/11/2025,217,SEAFOOD,103.82,T0,0,SUPPLIER 56,Materials Purchased,KITCHEN
4/12/2025,218,SEAFOOD,294.83,T0,0,SUPPLIER 56,Materials Purchased,KITCHEN
4/14/2025,219,SEAFOOD,105.69,T0,0,SUPPLIER 56,Materials Purchased,KITCHEN
4/15/2025,220,SEAFOOD,152.74,T0,0,SUPPLIER 56,Materials Purchased,KITCHEN
4/16/2025,221,SEAFOOD,113.75,T0,0,SUPPLIER 56,Materials Purchased,KITCHEN
4/17/2025,222,SEAFOOD,736.62,T0,0,SUPPLIER 56,Materials Purchased,KITCHEN
4/17/2025,223,SEAFOOD,105,T0,0,SUPPLIER 56,Materials Purchased,KITCHEN
4/19/2025,224,SEAFOOD,722.28,T0,0,SUPPLIER 56,Materials Purchased,KITCHEN
4/21/2025,225,SEAFOOD,80.1,T0,0,SUPPLIER 56,Materials Purchased,KITCHEN
4/22/2025,226,SEAFOOD,50.15,T0,0,SUPPLIER 56,Materials Purchased,KITCHEN
4/23/2025,227,SEAFOOD,56.25,T0,0,SUPPLIER 56,Materials Purchased,KITCHEN
4/23/2025,228,SEAFOOD,55,T0,0,SUPPLIER 56,Materials Purchased,KITCHEN
4/24/2025,229,SEAFOOD,312.39,T0,0,SUPPLIER 56,Materials Purchased,KITCHEN
